PMM_CURVE_DATA
          P,         MX,         MY,
 -29642.443, -10880.827,   6282.048,
 -30315.166, -10685.649,   6169.362,
 -30936.867, -10505.173,   6065.165,
 -31513.215, -10337.828,   5968.548,
 -32045.813, -10181.220,   5878.130,
 -32535.723, -10033.297,   5792.727,
 -32991.214,  -9894.574,   5712.635,
 -33409.219,  -9762.347,   5636.293,
 -33799.063,  -9637.841,   5564.410,
 -34165.210,  -9520.918,   5496.905,
 -34509.484,  -9410.833,   5433.347,
 -34833.228,  -9306.855,   5373.315,
 -35138.124,  -9208.477,   5316.517,
 -35425.564,  -9115.217,   5262.673,
 -35696.065,  -9026.459,   5211.429,
 -59218.923,    206.522,   -119.236,
 -59218.923,    125.336,   -217.088,
 -35559.824,   5182.925,  -8977.090,
 -35289.686,   5233.790,  -9065.190,
 -35003.317,   5287.334,  -9157.930,
 -34699.229,   5343.765,  -9255.672,
 -34376.905,   5403.493,  -9359.125,
 -34034.210,   5466.744,  -9468.678,
 -33669.752,   5533.925,  -9585.039,
 -33281.020,   5605.351,  -9708.752,
 -32862.642,   5680.931,  -9839.662,
 -32408.708,   5760.540,  -9977.548,
 -31919.452,   5845.239, -10124.250,
 -31388.667,   5935.096, -10279.887,
 -30814.959,   6031.242, -10446.418,
 -30196.122,   6134.941, -10626.030,
 -29524.881,   6246.753, -10819.693,
 -28783.648,   6365.256, -11024.946,
 -27968.245,   6492.101, -11244.648,
 -27078.319,   6630.501, -11484.364,
 -26084.551,   6777.269, -11738.575,
 -24979.734,   6934.958, -12011.700,
 -23742.790,   7103.266, -12303.218,
 -22358.594,   7284.412, -12616.972,
 -20801.820,   7478.718, -12953.519,
 -19018.803,   7676.401, -13295.917,
 -16998.892,   7883.359, -13654.379,
 -14694.484,   8091.072, -14014.149,
 -12064.349,   8289.630, -14358.060,
  -9072.794,   8463.234, -14658.751,
  -5703.119,   8589.506, -14877.462,
  -1975.730,   8639.013, -14963.210,
   2043.723,   8638.439, -14962.216,
   6311.087,   8585.316, -14870.203,
  10673.871,   8401.002, -14550.962,
  14964.799,   8101.427, -14032.084,
